子任务ID,父任务ID,序列,子任务组,禁止进入联机,显示状态,[领取条件]组合,[领取条件]1类型,[领取条件]1参数1,[领取条件]1参数2,[领取条件]1参数3,[领取条件]2类型,[领取条件]2参数1,[领取条件]2参数2,[领取条件]2参数3,[领取条件]3类型,[领取条件]3参数1,[领取条件]3参数2,[领取条件]3参数3,[领取条件]4类型,[领取条件]4参数1,[领取条件]4参数2,[领取条件]4参数3,[完成条件]组合,[完成条件]1类型,[完成条件]1参数1,[完成条件]1参数2,[完成条件]1复杂参数,[完成条件]1次数,[完成条件]2类型,[完成条件]2参数1,[完成条件]2复杂参数,[完成条件]2次数,[完成条件]3类型,[完成条件]3参数1,[完成条件]3复杂参数,[完成条件]3次数,[完成条件]4类型,[完成条件]4参数1,[完成条件]4复杂参数,[完成条件]4次数,[失败条件]组合,[失败条件]1类型,[失败条件]1参数1,[失败条件]1参数2,[失败条件]1复杂参数,[失败条件]1次数,[失败条件]2类型,[失败条件]2参数1,[失败条件]2参数2,[失败条件]2复杂参数,[失败条件]2次数,[任务指引]类型,[任务指引]自动开启或关闭,[任务指引]参数1,[任务指引]参数2,[任务指引]场景ID,[任务指引]样式,[任务指引]显示层级,场景内指引,完成父任务,失败父任务,是存档点,[任务道具]ID,[任务道具]数量,[执行]1类型,[执行]1参数1,[执行]1参数2,[执行]2类型,[执行]2参数1,[执行]2参数2,[执行]3类型,[执行]3参数1,[执行]3参数2,[失败执行]1类型,[失败执行]1参数1,[失败执行]1参数2,[失败执行]2类型,[失败执行]2参数1,[失败执行]2参数2,[失败执行]3类型,[失败执行]3参数1,[失败执行]3参数2,[开始执行]1类型,[开始执行]1参数1,[开始执行]1参数2,[开始执行]2类型,[开始执行]2参数1,[开始执行]2参数2,[开始执行]3类型,[开始执行]3参数1,[开始执行]3参数2,独占NPC,共享NPC,独占优先级,试用角色列表,加载技能组,独占情境ID,CoopPointID,刷新是否限定单机,关卡映射
100099,1000,1,,,1,,1,99902,3,,,,,,,,,,,,,,,18,0,,0#24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100098,1000,2,,,1,,1,99902,3,,,,,,,,,,,,,,,18,0,,0#24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,1000,3,,,,,1,39604,3,,,,,,,,,,,,,,,4,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,Q100001Player,,3,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201301#200901#201101#162501#202301#203601#2025,,1000,,,,,,
100001,1000,4,,1,,,1,100000,3,,,,,,,,,,,,,,,2,100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201301#200901#201101#162501#202301#203601#2025,,1000,,,,,,
100002,1000,5,2,,,,1,100001,3,,,,,,,,,,,,,,2,2,100002,,,,2,10000201,,,,,,,,,,,,,,,,,,,,,,2,,203601,,3,2,2,,,,1,,,23,100005,1,23,100006,1,,,,,,,,,,,,,,,,,,,,,,201301#200901#201101#162501#202301#203601#2064#1625#2023,,1000,,,,,,
100003,1000,6,2,,,,1,100001,3,,,,,,,,,,,,,,2,2,100003,,,,2,10000301,,,,,,,,,,,,,,,,,,,,,,2,,202301,,3,2,2,,,,1,,,23,100005,1,23,100006,1,,,,,,,,,,,,,,,,,,,,,,201301#200901#201101#162501#202301#203601#2064#1625#2023,,1000,,,,,,
100004,1000,7,2,,,,1,100001,3,,,,,,,,,,,,,,2,2,100004,,,,2,10000401,,,,,,,,,,,,,,,,,,,,,,2,,201301,,3,2,2,,,,1,,,23,100005,1,23,100006,1,,,,,,,,,,,,,,,,,,,,,,201301#200901#201101#162501#202301#203601#1625#2064#2023,,1000,,,,,,
100005,1000,8,,,1,,1,100001,3,,,,,,,,,,,,,,,24,100005,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100006,1000,9,,,1,,1,100001,3,,,,,,,,,,,,,,,24,100006,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,23,100016,1,,,,,,,,,,,,,,,,,,,,,,,,,201301#200901#201101#162501#202301#203601#1625#2064#2023,,1000,,,,,,
100016,1000,10,,,1,,1,100001,3,,,,,,,,,,,,,,,24,100016,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
